raceId,year,Age
215,1997,27.318181818181817
216,1997,28.0
217,1997,28.318181818181817
218,1997,28.318181818181817
219,1997,28.318181818181817
220,1997,28.318181818181817
221,1997,28.681818181818183
222,1997,28.681818181818183
223,1997,28.363636363636363
224,1996,29.0
225,1996,28.863636363636363
226,1996,28.863636363636363
227,1996,29.0
228,1996,29.0
229,1996,29.0
230,1996,29.0
231,1996,29.0
232,1996,29.0
233,1996,29.0
234,1996,29.8
235,1996,29.8
236,1996,29.8
237,1996,29.8
238,1996,29.8
239,1996,29.8
240,1995,29.423076923076923
241,1995,29.423076923076923
242,1995,29.923076923076923
243,1995,29.96153846153846
244,1995,29.423076923076923
245,1995,29.75
246,1995,29.75
247,1995,29.708333333333332
